Name,URL,Language,Resource Type,Tags,State,Note 2 ,Year,Note,Organisation
Is women's empowerment a pathway to improving child nutrition outcomes in a nutrition-sensitive agriculture program?: Evidence from a randomized controlled trial in Burkina Faso,https://drive.google.com/file/d/1f1O0h1E7f0MgBXPz0JDtLzxb11WdYuZy/view?usp=sharing,English,,,,,,,Social Science and Medicine
Kharif Arhar (Pegion Pea),https://drive.google.com/file/d/0ByE9Mc41r3OrYVFiSzBGbi0zMHM/view?usp=sharing,English,,,,Package of practices for Pegion pea cultivation,,,Pradan
Kharif Arhar (Pegion Pea),https://drive.google.com/file/d/0ByE9Mc41r3OrYVFiSzBGbi0zMHM/view?usp=sharing,English,Training PPTs/materials,,,,2014,Regenerative Agriculture,PRADAN
Kitchen Garden Model,https://drive.google.com/file/d/1_D9X1iC7mkEaD1N36vrICLNwYzTahLzP/view?usp=sharing,English,,,,Kitchen Garden Package of Practices adopted in Chakai ,,,PRADAN
Lac - Value Chain Analysis Report,https://drive.google.com/file/d/0ByE9Mc41r3OrUW9sbW1acWVpYk0/view?usp=sharing,English,,,,Value Chain Analysis of Lac conducted by PRADAN,,,Pradan
Lacquered Dreams - Promoting Livelihoods Through Lac,https://drive.google.com/file/d/0ByE9Mc41r3OrZmI1MFp1UHh5TUk/view?usp=sharing,English,,,,Brochure on Lac Promotion and its impact on rural poor,,,Pradan
Lets Breathe - Air ,https://drive.google.com/file/d/19gir5CyzMPBROo7d3WiHsBZS6kmY8f0n/view?usp=drive_link,English,,,,Urban,,,Reap Benefit
Lighting Up The Hills,https://drive.google.com/file/d/0ByE9Mc41r3Orb2ZzVjk5ZlRZdDA/view?usp=sharing,English,,,,"A document on the life and livelihoods of the Pahariya tribals in Sundarpahari, Jharkhand",,,Pradan
Livelihood Oppoortunities in Tasar Sericulture,https://drive.google.com/file/d/0ByE9Mc41r3OrVS1Fd3hvSGZCTkU/view?usp=sharing,English,,,,A resource book for practitioners to develop understanding on various dimensions of tasar sericulture promotion as a viable livelihood option,,,Pradan
Livelihood Opportunities in Broiler Farming,https://drive.google.com/file/d/0ByE9Mc41r3OrSjBqRVFNVHBjclk/view?usp=sharing,English,Livelihood Resource Books/Handbooks,,,,2007,Livestock and Poultry,PRADAN
